Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Randomization,Display Logic,Terminate
3,,Please select your highest overall digital commerce priorities over the next year? Pick up to 3.,Multiple Choice - Multiple Select,"Digital customer experience improvements
Replatforming commerce systems (ecommerce platforms, accounts receivable, ERP) 
Personalization efforts 
Improving Supply-Chain inefficiencies 
Shipping/Logistics improvements 
Expand cross-border selling initiatives
Build local partnerships and/or vendor relationships
Increasing payment methods offered 
Increase marketplace presence 
Other: [text entry]",,,,
4,,Please pick the approximate percentage of your company’s online revenue coming from the following global markets/regions: ,Matrix Table - Single Select,"North America
EMEA
LATAM
APAC","More than 75%
Between 75%-50%
Between 49%-25%
Less than 25%
NA",,,
5,,How do you expect your company’s online revenue to change over the next year in the following markets/regions?,Matrix Table - Single Select,"North America
EMEA
LATAM
APAC","Revenue to decrease
Revenue to stay steady
Revenue to increase
No plans to sell there",,,
6,,How important do you consider each of the following in growing your cross-border commerce? ,Matrix Table - Single Select,"Ability to accept local payment methods e.g. bank, e-wallet, cash
Financial operational readiness e.g. repatriating funds, settlement reporting and managing FX
Local distribution presence and supporting alternate delivery options such as ship to locker 
Cross border shipping and logistics 
Provide local customer 
support 
Building a local digital/website presence
Understanding local regulations
Ability to market to local customers
Managing foreign exchange and currency risks
Managing local compliance and regulatory risks (eg. local privacy regulations)
Managing security risks (e.g. data security)
Managing fraud risks (eg. chargebacks)
Managing anti-money laundering risks (via KYB/KYC)","Extremely important (5)
Somewhat important (4)
Neither (3)
Somewhat less important (2)
Not at all important (1)",,,
7,,Please rate your progress in implementing the following cross-border tactics in the markets/regions you do business in: ,Matrix Table - Single Select,"Acceptance of local payment methods e.g. e-wallet, cash
Financial operational readiness e.g. repatriating funds, settlement reporting and managing FX
Distribution presence and supporting alternate delivery options such as ship to locker 
Cross border shipping and logistics 
Provide local customer 
support 
Building a local digital/website presence
Understanding local regulations
Ability to market to local customers
Manage foreign exchange and currency risks
Manage local compliance and regulatory risks (eg. meeting local privacy regulations)
Manage security risks (e.g. data security)
Manage fraud risks (eg. chargebacks)
Manage anti-money laundering risks (via KYB/KYC)","No Progress (0)
Some Progress (1)
Significant Progress (2)
Fully implemented (3)
NA/Don’t know",,,
8,,How would you rate your organization's readiness on the following areas in implementing cross-border tactics: ,Text,,,,,
8.1,,Our organizational structure is optimized for cross-border operations,Multiple Choice - Single Select,"Completely ready
Somewhat ready
Unsure
Somewhat ready 
Not at all ready",,,,
8.2,,Our organization is ready to invest in local talent and culture,Multiple Choice - Single Select,"Completely ready
Somewhat ready
Unsure
Somewhat ready 
Not at all ready",,,,
9,,What do you consider the top operational challenges when it comes to cross-border commerce? (select up to 3) ,Multiple Choice - Multiple Select,"Building a local digital/website presence (currency presentation, language translation of site/app, etc)? 
Local expertise such as understanding local regulations including tax regulations
Ability to provide customer support 
Cross-border shipping and logistics 
Supporting local payment methods 
Managing risks: fraud, compliance, currency/FX and security, etc 
Financial operations: repatriating funds, settlement reporting and managing FX 
Marketing: acquiring new customers in new markets 
Managing payment card declines",,,,
10,,What do you consider the biggest risk when it comes to cross-border commerce? ,Multiple Choice - Single Select,"Foreign exchange and currency risks 
Local compliance and regulatory risks (eg. meeting local privacy regulations
Security risks (data security) 
Fulfillment, shipping and/or logistics 
Fraud risks (eg. chargebacks) 
Brand/reputational risks (eg. maintaining and growing brand value) 
Foreign trade and legal risks (eg. trade wars, inflation, economic woes ) 
Other [text entry]",,,,
