Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
81,,Where are you from?,Text Entry,,,
82,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
83,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
84,,What is your phone number?,Text Entry,,,
85,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
86,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
87,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
88,,Where are you from?,Text Entry,,,
89,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
90,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
91,,What is your phone number?,Text Entry,,,
92,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
93,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
94,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
95,,Where are you from?,Text Entry,,,
96,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
97,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
98,,What is your phone number?,Text Entry,,,
99,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
100,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
101,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
102,,Where are you from?,Text Entry,,,
103,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
104,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
105,,What is your phone number?,Text Entry,,,
106,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
107,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
108,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
109,,Where are you from?,Text Entry,,,
110,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
111,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
112,,What is your phone number?,Text Entry,,,
113,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
114,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
115,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
116,,Where are you from?,Text Entry,,,
117,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
118,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
119,,What is your phone number?,Text Entry,,,
120,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
121,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
122,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
123,,Where are you from?,Text Entry,,,
124,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
125,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
126,,What is your phone number?,Text Entry,,,
127,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
128,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
129,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
130,,Where are you from?,Text Entry,,,
131,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
132,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
133,,What is your phone number?,Text Entry,,,
134,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
135,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
136,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
137,,Where are you from?,Text Entry,,,
138,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
139,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
140,,What is your phone number?,Text Entry,,,
141,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
142,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
143,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
144,,Where are you from?,Text Entry,,,
145,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
146,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
147,,What is your phone number?,Text Entry,,,
148,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
149,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
150,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
151,,Where are you from?,Text Entry,,,
152,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
153,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
154,,What is your phone number?,Text Entry,,,
155,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
156,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
157,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
158,,Where are you from?,Text Entry,,,
159,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
160,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
161,,What is your phone number?,Text Entry,,,
162,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
163,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
164,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
165,,Where are you from?,Text Entry,,,
166,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
167,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
168,,What is your phone number?,Text Entry,,,
169,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
170,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
171,Block 2,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
172,,Where are you from?,Text Entry,,,
173,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
174,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
175,,What is your phone number?,Text Entry,,,
176,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
177,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
178,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
179,,Where are you from?,Text Entry,,,
180,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
181,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
182,,What is your phone number?,Text Entry,,,
183,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
184,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
185,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
186,,Where are you from?,Text Entry,,,
187,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
188,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
189,,What is your phone number?,Text Entry,,,
190,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
191,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
192,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
193,,Where are you from?,Text Entry,,,
194,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
195,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
196,,What is your phone number?,Text Entry,,,
197,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
198,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
199,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
200,,Where are you from?,Text Entry,,,
201,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
202,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
203,,What is your phone number?,Text Entry,,,
204,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
205,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
206,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
207,,Where are you from?,Text Entry,,,
208,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
209,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
210,,What is your phone number?,Text Entry,,,
211,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
212,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
213,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
214,,Where are you from?,Text Entry,,,
215,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
216,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
217,,What is your phone number?,Text Entry,,,
218,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
219,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
220,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
221,,Where are you from?,Text Entry,,,
222,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
223,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
224,,What is your phone number?,Text Entry,,,
225,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
226,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
227,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
228,,Where are you from?,Text Entry,,,
229,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
230,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
231,,What is your phone number?,Text Entry,,,
232,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
233,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
234,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
235,,Where are you from?,Text Entry,,,
236,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
237,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
238,,What is your phone number?,Text Entry,,,
239,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
240,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
241,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
242,,Where are you from?,Text Entry,,,
243,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
244,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
245,,What is your phone number?,Text Entry,,,
246,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
247,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
248,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
249,,Where are you from?,Text Entry,,,
250,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
251,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
252,,What is your phone number?,Text Entry,,,
253,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
254,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
255,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
256,,Where are you from?,Text Entry,,,
257,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
258,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
259,,What is your phone number?,Text Entry,,,
260,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
261,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
262,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
263,,Where are you from?,Text Entry,,,
264,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
265,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
266,,What is your phone number?,Text Entry,,,
267,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
268,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
269,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
270,,Where are you from?,Text Entry,,,
271,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
272,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
273,,What is your phone number?,Text Entry,,,
274,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
275,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
276,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
277,,Where are you from?,Text Entry,,,
278,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
279,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
280,,What is your phone number?,Text Entry,,,
281,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
282,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
283,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
284,,Where are you from?,Text Entry,,,
285,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
286,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
287,,What is your phone number?,Text Entry,,,
288,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
289,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
290,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
291,,Where are you from?,Text Entry,,,
292,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
293,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
294,,What is your phone number?,Text Entry,,,
295,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
296,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
297,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
298,,Where are you from?,Text Entry,,,
299,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
300,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
301,,What is your phone number?,Text Entry,,,
302,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
303,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
304,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
305,,Where are you from?,Text Entry,,,
306,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
307,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
308,,What is your phone number?,Text Entry,,,
309,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
310,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
311,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
312,,Where are you from?,Text Entry,,,
313,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
314,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
315,,What is your phone number?,Text Entry,,,
316,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
317,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
318,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
319,,Where are you from?,Text Entry,,,
320,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
321,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
322,,What is your phone number?,Text Entry,,,
323,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
324,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
325,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
326,,Where are you from?,Text Entry,,,
327,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
328,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
329,,What is your phone number?,Text Entry,,,
330,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
331,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
332,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
333,,Where are you from?,Text Entry,,,
334,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
335,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
336,,What is your phone number?,Text Entry,,,
337,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
338,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
